date,mode,note,percent_diff,category
2020-03-11,Bus excl. London,"6,8,9",98,Other public
2020-03-11,Cycling,"10,11",118,Cycling
2020-03-12,Cars,2,98,Cars
2020-03-12,Light Commercial Vehicles,2,102,Logistics
2020-03-12,Heavy Goods Vehicles,2,102,Logistics
2020-03-12,All motor vehicles,2,99,All motor vehicles
2020-03-12,National Rail,"3,4",96,Other public
2020-03-12,TfL Tube,5,81,London public
2020-03-12,TfL Bus,"5,7",92,London public
2020-03-12,Bus excl. London,"6,8,9",98,Other public
2020-03-12,Cycling,"10,11",120,Cycling
2020-03-13,Cars,2,98,Cars
2020-03-13,Light Commercial Vehicles,2,100,Logistics
2020-03-13,Heavy Goods Vehicles,2,102,Logistics
2020-03-13,All motor vehicles,2,98,All motor vehicles
2020-03-13,National Rail,"3,4",92,Other public
2020-03-13,TfL Tube,5,72,London public
2020-03-13,TfL Bus,"5,7",87,London public
2020-03-13,Bus excl. London,"6,8,9",94,Other public
2020-03-13,Cycling,"10,11",99,Cycling
2020-03-14,Cars,2,93,Cars
2020-03-14,Light Commercial Vehicles,2,102,Logistics
2020-03-14,Heavy Goods Vehicles,2,108,Logistics
2020-03-14,All motor vehicles,2,95,All motor vehicles
2020-03-14,National Rail,"3,4",89,Other public
2020-03-14,TfL Tube,5,61,London public
2020-03-14,TfL Bus,"5,7",83,London public
2020-03-14,Bus excl. London,"6,8,9",85,Other public
2020-03-14,Cycling,"10,11",127,Cycling
2020-03-15,Cars,2,94,Cars
2020-03-15,Light Commercial Vehicles,2,105,Logistics
2020-03-15,Heavy Goods Vehicles,2,112.00000000000001,Logistics
2020-03-15,All motor vehicles,2,96,All motor vehicles
2020-03-15,National Rail,"3,4",85,Other public
2020-03-15,TfL Tube,5,54,London public
2020-03-15,TfL Bus,"5,7",74,London public
2020-03-15,Bus excl. London,"6,8,9",85,Other public
2020-03-15,Cycling,"10,11",93,Cycling
2020-03-16,Cars,2,96,Cars
2020-03-16,Light Commercial Vehicles,2,103,Logistics
2020-03-16,Heavy Goods Vehicles,2,104,Logistics
2020-03-16,All motor vehicles,2,98,All motor vehicles
2020-03-16,National Rail,"3,4",78,Other public
2020-03-16,TfL Tube,5,60,London public
2020-03-16,TfL Bus,"5,7",79,London public
2020-03-16,Bus excl. London,"6,8,9",88,Other public
2020-03-16,Cycling,"10,11",104,Cycling
2020-03-17,Cars,2,86,Cars
2020-03-17,Light Commercial Vehicles,2,95,Logistics
2020-03-17,Heavy Goods Vehicles,2,103,Logistics
2020-03-17,All motor vehicles,2,89,All motor vehicles
2020-03-17,National Rail,"3,4",69,Other public
2020-03-17,TfL Tube,5,44,London public
2020-03-17,TfL Bus,"5,7",70,London public
2020-03-17,Bus excl. London,"6,8,9",77,Other public
2020-03-17,Cycling,"10,11",77,Cycling
2020-03-18,Cars,2,80,Cars
2020-03-18,Light Commercial Vehicles,2,90,Logistics
2020-03-18,Heavy Goods Vehicles,2,100,Logistics
2020-03-18,All motor vehicles,2,83,All motor vehicles
2020-03-18,National Rail,"3,4",59,Other public
2020-03-18,TfL Tube,5,35,London public
2020-03-18,TfL Bus,"5,7",65,London public
2020-03-18,Bus excl. London,"6,8,9",62,Other public
2020-03-18,Cycling,"10,11",93,Cycling
2020-03-19,Cars,2,79,Cars
2020-03-19,Light Commercial Vehicles,2,88,Logistics
2020-03-19,Heavy Goods Vehicles,2,100,Logistics
2020-03-19,All motor vehicles,2,82,All motor vehicles
2020-03-19,National Rail,"3,4",51,Other public
2020-03-19,TfL Tube,5,30,London public
2020-03-19,TfL Bus,"5,7",59,London public
2020-03-19,Bus excl. London,"6,8,9",57.99999999999999,Other public
2020-03-19,Cycling,"10,11",91,Cycling
2020-03-20,Cars,2,78,Cars
2020-03-20,Light Commercial Vehicles,2,85,Logistics
2020-03-20,Heavy Goods Vehicles,2,98,Logistics
2020-03-20,All motor vehicles,2,81,All motor vehicles
2020-03-20,National Rail,"3,4",43,Other public
2020-03-20,TfL Tube,5,24,London public
2020-03-20,TfL Bus,"5,7",52,London public
2020-03-20,Bus excl. London,"6,8,9",53,Other public
2020-03-20,Cycling,"10,11",82,Cycling
2020-03-21,Cars,2,70,Cars
2020-03-21,Light Commercial Vehicles,2,79,Logistics
2020-03-21,Heavy Goods Vehicles,2,102,Logistics
2020-03-21,All motor vehicles,2,73,All motor vehicles
2020-03-21,National Rail,"3,4",37,Other public
2020-03-21,TfL Tube,5,13,London public
2020-03-21,TfL Bus,"5,7",39,London public
2020-03-21,Bus excl. London,"6,8,9",40,Other public
2020-03-21,Cycling,"10,11",118,Cycling
2020-03-22,Cars,2,66,Cars
2020-03-22,Light Commercial Vehicles,2,73,Logistics
2020-03-22,Heavy Goods Vehicles,2,101,Logistics
2020-03-22,All motor vehicles,2,69,All motor vehicles
2020-03-22,National Rail,"3,4",33,Other public
2020-03-22,TfL Tube,5,11,London public
2020-03-22,TfL Bus,"5,7",32,London public
2020-03-22,Bus excl. London,"6,8,9",35,Other public
2020-03-22,Cycling,"10,11",126,Cycling
2020-03-23,Cars,2,64,Cars
2020-03-23,Light Commercial Vehicles,2,77,Logistics
2020-03-23,Heavy Goods Vehicles,2,97,Logistics
2020-03-23,All motor vehicles,2,69,All motor vehicles
2020-03-23,National Rail,"3,4",25,Other public
2020-03-23,TfL Tube,5,15,London public
2020-03-23,TfL Bus,"5,7",31,London public
2020-03-23,Bus excl. London,"6,8,9",27,Other public
2020-03-23,Cycling,"10,11",85,Cycling
2020-03-24,Cars,2,44,Cars
2020-03-24,Light Commercial Vehicles,2,56.00000000000001,Logistics
2020-03-24,Heavy Goods Vehicles,2,84,Logistics
2020-03-24,All motor vehicles,2,49,All motor vehicles
2020-03-24,National Rail,"3,4",20,Other public
2020-03-24,TfL Tube,5,9,London public
2020-03-24,TfL Bus,"5,7",22,London public
2020-03-24,Bus excl. London,"6,8,9",17,Other public
2020-03-24,Cycling,"10,11",85,Cycling
2020-03-25,Cars,2,37,Cars
2020-03-25,Light Commercial Vehicles,2,47,Logistics
2020-03-25,Heavy Goods Vehicles,2,77,Logistics
2020-03-25,All motor vehicles,2,42,All motor vehicles
2020-03-25,National Rail,"3,4",16,Other public
2020-03-25,TfL Tube,5,7.000000000000001,London public
2020-03-25,TfL Bus,"5,7",19,London public
2020-03-25,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-03-25,Cycling,"10,11",127,Cycling
2020-03-26,Cars,2,35,Cars
2020-03-26,Light Commercial Vehicles,2,43,Logistics
2020-03-26,Heavy Goods Vehicles,2,72,Logistics
2020-03-26,All motor vehicles,2,39,All motor vehicles
2020-03-26,National Rail,"3,4",13,Other public
2020-03-26,TfL Tube,5,6,London public
2020-03-26,TfL Bus,"5,7",18,London public
2020-03-26,Bus excl. London,"6,8,9",13,Other public
2020-03-26,Cycling,"10,11",131,Cycling
2020-03-27,Cars,2,35,Cars
2020-03-27,Light Commercial Vehicles,2,42,Logistics
2020-03-27,Heavy Goods Vehicles,2,69,Logistics
2020-03-27,All motor vehicles,2,38,All motor vehicles
2020-03-27,National Rail,"3,4",10,Other public
2020-03-27,TfL Tube,5,6,London public
2020-03-27,TfL Bus,"5,7",18,London public
2020-03-27,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-03-27,Cycling,"10,11",106,Cycling
2020-03-28,Cars,2,27,Cars
2020-03-28,Light Commercial Vehicles,2,34,Logistics
2020-03-28,Heavy Goods Vehicles,2,71,Logistics
2020-03-28,All motor vehicles,2,30,All motor vehicles
2020-03-28,National Rail,"3,4",9,Other public
2020-03-28,TfL Tube,5,4,London public
2020-03-28,TfL Bus,"5,7",17,London public
2020-03-28,Bus excl. London,"6,8,9",12,Other public
2020-03-28,Cycling,"10,11",125,Cycling
2020-03-29,Cars,2,23,Cars
2020-03-29,Light Commercial Vehicles,2,28.999999999999996,Logistics
2020-03-29,Heavy Goods Vehicles,2,72,Logistics
2020-03-29,All motor vehicles,2,25,All motor vehicles
2020-03-29,National Rail,"3,4",8,Other public
2020-03-29,TfL Tube,5,4,London public
2020-03-29,TfL Bus,"5,7",16,London public
2020-03-29,Bus excl. London,"6,8,9",13,Other public
2020-03-29,Cycling,"10,11",83,Cycling
2020-03-30,Cars,2,33,Cars
2020-03-30,Light Commercial Vehicles,2,41,Logistics
2020-03-30,Heavy Goods Vehicles,2,64,Logistics
2020-03-30,All motor vehicles,2,36,All motor vehicles
2020-03-30,National Rail,"3,4",6,Other public
2020-03-30,TfL Tube,5,5,London public
2020-03-30,TfL Bus,"5,7",17,London public
2020-03-30,Bus excl. London,"6,8,9",12,Other public
2020-03-30,Cycling,"10,11",72,Cycling
2020-03-31,Cars,2,32,Cars
2020-03-31,Light Commercial Vehicles,2,40,Logistics
2020-03-31,Heavy Goods Vehicles,2,62,Logistics
2020-03-31,All motor vehicles,2,36,All motor vehicles
2020-03-31,National Rail,"3,4",5,Other public
2020-03-31,TfL Tube,5,5,London public
2020-03-31,TfL Bus,"5,7",17,London public
2020-03-31,Bus excl. London,"6,8,9",12,Other public
2020-03-31,Cycling,"10,11",96,Cycling
2020-04-01,Cars,2,32,Cars
2020-04-01,Light Commercial Vehicles,2,39,Logistics
2020-04-01,Heavy Goods Vehicles,2,61,Logistics
2020-04-01,All motor vehicles,2,35,All motor vehicles
2020-04-01,National Rail,"3,4",5,Other public
2020-04-01,TfL Tube,5,5,London public
2020-04-01,TfL Bus,"5,7",16,London public
2020-04-01,Bus excl. London,"6,8,9",11,Other public
2020-04-01,Cycling,"10,11",111.00000000000001,Cycling
2020-04-02,Cars,2,32,Cars
2020-04-02,Light Commercial Vehicles,2,38,Logistics
2020-04-02,Heavy Goods Vehicles,2,60,Logistics
2020-04-02,All motor vehicles,2,35,All motor vehicles
2020-04-02,National Rail,"3,4",5,Other public
2020-04-02,TfL Tube,5,5,London public
2020-04-02,TfL Bus,"5,7",16,London public
2020-04-02,Bus excl. London,"6,8,9",11,Other public
2020-04-02,Cycling,"10,11",110.00000000000001,Cycling
2020-04-03,Cars,2,34,Cars
2020-04-03,Light Commercial Vehicles,2,40,Logistics
2020-04-03,Heavy Goods Vehicles,2,60,Logistics
2020-04-03,All motor vehicles,2,36,All motor vehicles
2020-04-03,National Rail,"3,4",5,Other public
2020-04-03,TfL Tube,5,5,London public
2020-04-03,TfL Bus,"5,7",16,London public
2020-04-03,Bus excl. London,"6,8,9",12,Other public
2020-04-03,Cycling,"10,11",111.00000000000001,Cycling
2020-04-04,Cars,2,28.000000000000004,Cars
2020-04-04,Light Commercial Vehicles,2,35,Logistics
2020-04-04,Heavy Goods Vehicles,2,66,Logistics
2020-04-04,All motor vehicles,2,31,All motor vehicles
2020-04-04,National Rail,"3,4",5,Other public
2020-04-04,TfL Tube,5,4,London public
2020-04-04,TfL Bus,"5,7",17,London public
2020-04-04,Bus excl. London,"6,8,9",11,Other public
2020-04-04,Cycling,"10,11",199,Cycling
2020-04-05,Cars,2,25,Cars
2020-04-05,Light Commercial Vehicles,2,31,Logistics
2020-04-05,Heavy Goods Vehicles,2,70,Logistics
2020-04-05,All motor vehicles,2,27,All motor vehicles
2020-04-05,National Rail,"3,4",5,Other public
2020-04-05,TfL Tube,5,4,London public
2020-04-05,TfL Bus,"5,7",17,London public
2020-04-05,Bus excl. London,"6,8,9",12,Other public
2020-04-05,Cycling,"10,11",225.99999999999997,Cycling
2020-04-06,Cars,2,34,Cars
2020-04-06,Light Commercial Vehicles,2,42,Logistics
2020-04-06,Heavy Goods Vehicles,2,61,Logistics
2020-04-06,All motor vehicles,2,37,All motor vehicles
2020-04-06,National Rail,"3,4",5,Other public
2020-04-06,TfL Tube,5,5,London public
2020-04-06,TfL Bus,"5,7",18,London public
2020-04-06,Bus excl. London,"6,8,9",11,Other public
2020-04-06,Cycling,"10,11",105,Cycling
2020-04-07,Cars,2,33,Cars
2020-04-07,Light Commercial Vehicles,2,41,Logistics
2020-04-07,Heavy Goods Vehicles,2,60,Logistics
2020-04-07,All motor vehicles,2,36,All motor vehicles
2020-04-07,National Rail,"3,4",5,Other public
2020-04-07,TfL Tube,5,5,London public
2020-04-07,TfL Bus,"5,7",18,London public
2020-04-07,Bus excl. London,"6,8,9",11,Other public
2020-04-07,Cycling,"10,11",138,Cycling
2020-04-08,Cars,2,34,Cars
2020-04-08,Light Commercial Vehicles,2,42,Logistics
2020-04-08,Heavy Goods Vehicles,2,62,Logistics
2020-04-08,All motor vehicles,2,37,All motor vehicles
2020-04-08,National Rail,"3,4",5,Other public
2020-04-08,TfL Tube,5,5,London public
2020-04-08,TfL Bus,"5,7",17,London public
2020-04-08,Bus excl. London,"6,8,9",10,Other public
2020-04-08,Cycling,"10,11",154,Cycling
2020-04-09,Cars,2,36,Cars
2020-04-09,Light Commercial Vehicles,2,43,Logistics
2020-04-09,Heavy Goods Vehicles,2,61,Logistics
2020-04-09,All motor vehicles,2,39,All motor vehicles
2020-04-09,National Rail,"3,4",5,Other public
2020-04-09,TfL Tube,5,5,London public
2020-04-09,TfL Bus,"5,7",18,London public
2020-04-09,Bus excl. London,"6,8,9",12,Other public
2020-04-09,Cycling,"10,11",168,Cycling
2020-04-10,Cars,2,27,Cars
2020-04-10,Light Commercial Vehicles,2,27,Logistics
2020-04-10,Heavy Goods Vehicles,2,33,Logistics
2020-04-10,All motor vehicles,2,27,All motor vehicles
2020-04-10,National Rail,"3,4",4,Other public
2020-04-10,TfL Tube,5,4,London public
2020-04-10,TfL Bus,"5,7",17,London public
2020-04-10,Bus excl. London,"6,8,9",12,Other public
2020-04-10,Cycling,"10,11",179,Cycling
2020-04-11,Cars,2,28.999999999999996,Cars
2020-04-11,Light Commercial Vehicles,2,35,Logistics
2020-04-11,Heavy Goods Vehicles,2,55.00000000000001,Logistics
2020-04-11,All motor vehicles,2,31,All motor vehicles
2020-04-11,National Rail,"3,4",4,Other public
2020-04-11,TfL Tube,5,4,London public
2020-04-11,TfL Bus,"5,7",16,London public
2020-04-11,Bus excl. London,"6,8,9",10,Other public
2020-04-11,Cycling,"10,11",288,Cycling
2020-04-12,Cars,2,22,Cars
2020-04-12,Light Commercial Vehicles,2,27,Logistics
2020-04-12,Heavy Goods Vehicles,2,50,Logistics
2020-04-12,All motor vehicles,2,24,All motor vehicles
2020-04-12,National Rail,"3,4",4,Other public
2020-04-12,TfL Tube,5,4,London public
2020-04-12,TfL Bus,"5,7",14.000000000000002,London public
2020-04-12,Bus excl. London,"6,8,9",10,Other public
2020-04-12,Cycling,"10,11",247.00000000000003,Cycling
2020-04-13,Cars,2,23,Cars
2020-04-13,Light Commercial Vehicles,2,22,Logistics
2020-04-13,Heavy Goods Vehicles,2,25,Logistics
2020-04-13,All motor vehicles,2,23,All motor vehicles
2020-04-13,National Rail,"3,4",4,Other public
2020-04-13,TfL Tube,5,5,London public
2020-04-13,TfL Bus,"5,7",18,London public
2020-04-13,Bus excl. London,"6,8,9",12,Other public
2020-04-13,Cycling,"10,11",122,Cycling
2020-04-14,Cars,2,35,Cars
2020-04-14,Light Commercial Vehicles,2,44,Logistics
2020-04-14,Heavy Goods Vehicles,2,60,Logistics
2020-04-14,All motor vehicles,2,38,All motor vehicles
2020-04-14,National Rail,"3,4",4,Other public
2020-04-14,TfL Tube,5,5,London public
2020-04-14,TfL Bus,"5,7",19,London public
2020-04-14,Bus excl. London,"6,8,9",12,Other public
2020-04-14,Cycling,"10,11",134,Cycling
2020-04-15,Cars,2,34,Cars
2020-04-15,Light Commercial Vehicles,2,44,Logistics
2020-04-15,Heavy Goods Vehicles,2,63,Logistics
2020-04-15,All motor vehicles,2,38,All motor vehicles
2020-04-15,National Rail,"3,4",4,Other public
2020-04-15,TfL Tube,5,5,London public
2020-04-15,TfL Bus,"5,7",18,London public
2020-04-15,Bus excl. London,"6,8,9",10,Other public
2020-04-15,Cycling,"10,11",194,Cycling
2020-04-16,Cars,2,34,Cars
2020-04-16,Light Commercial Vehicles,2,42,Logistics
2020-04-16,Heavy Goods Vehicles,2,63,Logistics
2020-04-16,All motor vehicles,2,38,All motor vehicles
2020-04-16,National Rail,"3,4",4,Other public
2020-04-16,TfL Tube,5,5,London public
2020-04-16,TfL Bus,"5,7",18,London public
2020-04-16,Bus excl. London,"6,8,9",11,Other public
2020-04-16,Cycling,"10,11",202.99999999999997,Cycling
2020-04-17,Cars,2,35,Cars
2020-04-17,Light Commercial Vehicles,2,43,Logistics
2020-04-17,Heavy Goods Vehicles,2,63,Logistics
2020-04-17,All motor vehicles,2,39,All motor vehicles
2020-04-17,National Rail,"3,4",5,Other public
2020-04-17,TfL Tube,5,5,London public
2020-04-17,TfL Bus,"5,7",18,London public
2020-04-17,Bus excl. London,"6,8,9",11,Other public
2020-04-17,Cycling,"10,11",100,Cycling
2020-04-18,Cars,2,31,Cars
2020-04-18,Light Commercial Vehicles,2,38,Logistics
2020-04-18,Heavy Goods Vehicles,2,71,Logistics
2020-04-18,All motor vehicles,2,33,All motor vehicles
2020-04-18,National Rail,"3,4",5,Other public
2020-04-18,TfL Tube,5,4,London public
2020-04-18,TfL Bus,"5,7",16,London public
2020-04-18,Bus excl. London,"6,8,9",11,Other public
2020-04-18,Cycling,"10,11",143,Cycling
2020-04-19,Cars,2,28.999999999999996,Cars
2020-04-19,Light Commercial Vehicles,2,36,Logistics
2020-04-19,Heavy Goods Vehicles,2,73,Logistics
2020-04-19,All motor vehicles,2,32,All motor vehicles
2020-04-19,National Rail,"3,4",5,Other public
2020-04-19,TfL Tube,5,4,London public
2020-04-19,TfL Bus,"5,7",0,London public
2020-04-19,Bus excl. London,"6,8,9",13,Other public
2020-04-19,Cycling,"10,11",320,Cycling
2020-04-20,Cars,2,38,Cars
2020-04-20,Light Commercial Vehicles,2,48,Logistics
2020-04-20,Heavy Goods Vehicles,2,65,Logistics
2020-04-20,All motor vehicles,2,41,All motor vehicles
2020-04-20,National Rail,"3,4",6,Other public
2020-04-20,TfL Tube,5,5,London public
2020-04-20,TfL Bus,"5,7",0,London public
2020-04-20,Bus excl. London,"6,8,9",12,Other public
2020-04-20,Cycling,"10,11",139,Cycling
2020-04-21,Cars,2,37,Cars
2020-04-21,Light Commercial Vehicles,2,47,Logistics
2020-04-21,Heavy Goods Vehicles,2,64,Logistics
2020-04-21,All motor vehicles,2,41,All motor vehicles
2020-04-21,National Rail,"3,4",5,Other public
2020-04-21,TfL Tube,5,5,London public
2020-04-21,TfL Bus,"5,7",0,London public
2020-04-21,Bus excl. London,"6,8,9",11,Other public
2020-04-21,Cycling,"10,11",150,Cycling
2020-04-22,Cars,2,37,Cars
2020-04-22,Light Commercial Vehicles,2,47,Logistics
2020-04-22,Heavy Goods Vehicles,2,65,Logistics
2020-04-22,All motor vehicles,2,41,All motor vehicles
2020-04-22,National Rail,"3,4",5,Other public
2020-04-22,TfL Tube,5,5,London public
2020-04-22,TfL Bus,"5,7",0,London public
2020-04-22,Bus excl. London,"6,8,9",11,Other public
2020-04-22,Cycling,"10,11",200.99999999999997,Cycling
2020-04-23,Cars,2,37,Cars
2020-04-23,Light Commercial Vehicles,2,46,Logistics
2020-04-23,Heavy Goods Vehicles,2,64,Logistics
2020-04-23,All motor vehicles,2,41,All motor vehicles
2020-04-23,National Rail,"3,4",5,Other public
2020-04-23,TfL Tube,5,5,London public
2020-04-23,TfL Bus,"5,7",0,London public
2020-04-23,Bus excl. London,"6,8,9",11,Other public
2020-04-23,Cycling,"10,11",220.00000000000003,Cycling
2020-04-24,Cars,2,39,Cars
2020-04-24,Light Commercial Vehicles,2,46,Logistics
2020-04-24,Heavy Goods Vehicles,2,65,Logistics
2020-04-24,All motor vehicles,2,42,All motor vehicles
2020-04-24,National Rail,"3,4",4,Other public
2020-04-24,TfL Tube,5,5,London public
2020-04-24,TfL Bus,"5,7",0,London public
2020-04-24,Bus excl. London,"6,8,9",12,Other public
2020-04-24,Cycling,"10,11",188,Cycling
2020-04-25,Cars,2,35,Cars
2020-04-25,Light Commercial Vehicles,2,43,Logistics
2020-04-25,Heavy Goods Vehicles,2,71,Logistics
2020-04-25,All motor vehicles,2,38,All motor vehicles
2020-04-25,National Rail,"3,4",4,Other public
2020-04-25,TfL Tube,5,4,London public
2020-04-25,TfL Bus,"5,7",0,London public
2020-04-25,Bus excl. London,"6,8,9",12,Other public
2020-04-25,Cycling,"10,11",292,Cycling
2020-04-26,Cars,2,32,Cars
2020-04-26,Light Commercial Vehicles,2,40,Logistics
2020-04-26,Heavy Goods Vehicles,2,75,Logistics
2020-04-26,All motor vehicles,2,35,All motor vehicles
2020-04-26,National Rail,"3,4",4,Other public
2020-04-26,TfL Tube,5,4,London public
2020-04-26,TfL Bus,"5,7",0,London public
2020-04-26,Bus excl. London,"6,8,9",13,Other public
2020-04-26,Cycling,"10,11",343,Cycling
2020-04-27,Cars,2,40,Cars
2020-04-27,Light Commercial Vehicles,2,51,Logistics
2020-04-27,Heavy Goods Vehicles,2,68,Logistics
2020-04-27,All motor vehicles,2,44,All motor vehicles
2020-04-27,National Rail,"3,4",4,Other public
2020-04-27,TfL Tube,5,5,London public
2020-04-27,TfL Bus,"5,7",0,London public
2020-04-27,Bus excl. London,"6,8,9",12,Other public
2020-04-27,Cycling,"10,11",159,Cycling
2020-04-28,Cars,2,38,Cars
2020-04-28,Light Commercial Vehicles,2,49,Logistics
2020-04-28,Heavy Goods Vehicles,2,67,Logistics
2020-04-28,All motor vehicles,2,42,All motor vehicles
2020-04-28,National Rail,"3,4",4,Other public
2020-04-28,TfL Tube,5,5,London public
2020-04-28,TfL Bus,"5,7",0,London public
2020-04-28,Bus excl. London,"6,8,9",11,Other public
2020-04-28,Cycling,"10,11",49,Cycling
2020-04-29,Cars,2,38,Cars
2020-04-29,Light Commercial Vehicles,2,49,Logistics
2020-04-29,Heavy Goods Vehicles,2,68,Logistics
2020-04-29,All motor vehicles,2,42,All motor vehicles
2020-04-29,National Rail,"3,4",4,Other public
2020-04-29,TfL Tube,5,5,London public
2020-04-29,TfL Bus,"5,7",0,London public
2020-04-29,Bus excl. London,"6,8,9",11,Other public
2020-04-29,Cycling,"10,11",111.00000000000001,Cycling
2020-04-30,Cars,2,39,Cars
2020-04-30,Light Commercial Vehicles,2,48,Logistics
2020-04-30,Heavy Goods Vehicles,2,67,Logistics
2020-04-30,All motor vehicles,2,42,All motor vehicles
2020-04-30,National Rail,"3,4",4,Other public
2020-04-30,TfL Tube,5,5,London public
2020-04-30,TfL Bus,"5,7",0,London public
2020-04-30,Bus excl. London,"6,8,9",11,Other public
2020-04-30,Cycling,"10,11",97,Cycling
2020-05-01,Cars,2,40,Cars
2020-05-01,Light Commercial Vehicles,2,50,Logistics
2020-05-01,Heavy Goods Vehicles,2,66,Logistics
2020-05-01,All motor vehicles,2,44,All motor vehicles
2020-05-01,National Rail,"3,4",4,Other public
2020-05-01,TfL Tube,5,5,London public
2020-05-01,TfL Bus,"5,7",0,London public
2020-05-01,Bus excl. London,"6,8,9",12,Other public
