Date,ID,Milestone,Detail,URL,summary_of_measure_change,introduced_by,targeted_at,when_introduced_duration,why_stated_aims,how_key_components_and_mechanisms,url_key_docs,category,subcategory,notes,transport_policy
2020-02-03T00:00:00Z,2.12,NA,NA,NA,Guidance published for healthcare providers on dealing with healthcare workers who have been put at risk of contracting COVID-19 [now withdrawn],Public Health England,Healthcare providers,Published 3 February 2020. Later updated and eventually withdrawn on 13 March 2020 and superseded by stay at home guidance,Reduce the risk of spreading COVID-19,"Health care providers should use their communication systems to message all staff in their organisation, stating that if a health care worker has travelled to or transited through a specified country or area and has returned to the UK in the past 14 days, the health care worker should: notify their line manager and occupational health manager immediately if they have already returned to work; if not already at work, notify their line manager and occupational health manager before returning to work",Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-02-04T00:00:00Z,2.13,NA,NA,NA,Foreign and Commonwealth Office travel advice is updated to recommend that British nationals leave China,Foreign and Commonwealth Office,British nationals in China,Updated advice published 4 February 2020. Later major updates to travel advice logged separately,NA,NA,Gov.uk_press release,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-02-07T00:00:00Z,2.14,NA,NA,NA,"Foreign and Commonwealth Office travel advice is updated for people returning from Hubei Province and new advice issued for people returning from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia or Macau",Foreign and Commonwealth Office,General public returning from  Hubei Province and selected countries,Updated advice published 7 February 2020. Later major updates to travel advice logged separately,na,"Those who have travelled from Wuhan or Hubei Province in the last 14 days should immediately, even if you do not have symptoms of the virus: stay indoors and avoid contact with other people as you would with the flu; call NHS 111 to inform them of your recent travel to the area. Those who have returned to the UK from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia or Macau in the last 14 days and develop symptoms of cough or fever or shortness of breath, should immediately: stay indoors and avoid contact with other people as you would with the flu; call NHS 111 to inform them of your recent travel to the country.",Gov.uk_guidance,Measures to limit spread,Travel measures,Updated from PHE travel guidance issued 10 January.,Transport-specific policy
2020-02-07T00:00:00Z,2.15,NA,NA,NA,COVID-19 diagnostic testing is rolled out to 12 labs across the UK,Public Health England,na,Announced 7 February 2020. Starting on Monday 10 February 2020,Accelerate testing capacity,"Diagnostic test is rolled from PHE's laboratory in London to 12 laboratories across the UK. The increase in diagnostic capacity increases testing capacity to more than 1,000 people a day for England.",Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-02-10T00:00:00Z,2.16,NA,NA,NA,Government introduces legal powers to impose restrictions on individuals at risk of spreading COVID-19 [now revoked],Department of Health and Social Care,"Patients and general public believed to have COVID-19 and people who have arrived in England on a ship, aircraft or train and have left an infected area in the previous 14 days",Introduced 10 February 2020. Regulations revoked and superseded by Coronavirus Act 2020,"HoC intro: 'containment [...] ensuring that people who are contacts of known cases, or who are considered to be at high risk of ​infection, are isolated from others for a period of time, ensuring that they cannot infect others but can readily access help if they fall ill"". Explanatory Notes: “to level up across the UK, so that the actions to tackle this threat can be carried out effectively across all four nations'","Health Protection (Coronavirus) Regulations 2020: detention of patients with COVID-19 regulations, giving health professionals the power to detain patients with COVID-19 for the specific purposes of screening and assessment, or to isolate them for a period of time, and allowing police constables to detain people suspected of having the virus. Restrictive measures for screening, isolation and contact – no provision for compulsory treatment of a person",House of Commons,Measures to limit spread,Legal change,House of Commons debate,Wider policies
2020-02-17T00:00:00Z,2.17,NA,NA,NA,Guidance published for education providers on how to address COVID-19 in educational settings,Public Health England,Schools and other education provides,"Published 17 February 2020. Later updated e.g. on 7 April 2020 to reflect the announcement on school closures and on 12 May 2020 to prepare for reopening 

",This guidance will assist staff in addressing COVID-19 in educational settings,Guidance covers: (a) What to do if someone develops symptoms of COVID-19 on site (b) Limiting spread of COVID-19 in educational settings (c) Cleaning and Waste (d) Tools and resources for sharing public health information,Gov.uk_guidance ,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-02-25T00:00:00Z,2.18,NA,NA,NA,"Guidance published for social, community care and residential care providers to address COVID-19 in their care settings [now withdrawn]",Public Health England,"Social, community and residential care employers to inform their staff","Published 25 February. Withdrawn 13 March 2020 and superseded by residential care, supported living and home care guidance","This guidance will assist social, community and residential care employers in providing advice to their staff. This guidance is intended for the current position in the UK where there is currently no transmission of COVID-19 in the community.","Guidance covers: (a) principles to prevent the spread of infection, including handwashing/ face touching, staying home if unwell; (b) Face masks, including guidance that only recommended to be worn by infected individuals when advised by a healthcare worker; (c) What to do if an employee becomes unwell and believe they have been exposed to COVID-19; (d) Returning from travel overseas to affected areas, including those returning from Wuhan; (e) What to do if someone with confirmed COVID-19 has recently been in the office, workplace or residential setting, including that closure is not recommended.",Gov.uk_guidance,Measures to limit spread,Health and social care settings,"Superseded by guidance: COVID-19: residential care, supported living and home care guidance",Transport-specific policy
2020-02-25T00:00:00Z,2.19,NA,NA,NA,Guidance published to address COVID-19 in the workplace,"Public Health England and Department for Business, Energy & Industrial strategy","Employees, employers and businesses in providing advice about the novel coronavirus (COVID-19).","Published 25 February. Later updated regularly e.g. on 10 March 2020 with new travel advice and 6 April 2020 with guidance on using face masks in public 
","This guidance will assist employers, businesses and their staff in addressing COVID-19. Frequently updated e.g. 6 April 2020 - added guidance on use of face masks in the community","Guidance covers: social distancing principles, shift and staggering work patterns, stay at home guidance, sick pay and time off work to look after someone, food safety, cleaning and waste disposal, and other areas.",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-02-26T00:00:00Z,2.2,NA,NA,NA,Public Health England and the NHS establish a new surveillance system to detect cases of COVID-19,Public Health England and NHS,Patients with severe respiratory infections who do not meet the current case definition for COVID-19,Published 26 February 2020,"This new surveillance strategy was established to strengthen existing systems and to prepare for and prevent wider transmission of the virus. It will enable PHE to identify early evidence of spread within England, if this occurs.","Some NHS hospitals have been asked to implement new surveillance at their intensive care units and Severe Respiratory Failure Centres. Samples will be tested from patients with severe respiratory infections who do not meet the current case definition for COVID-19. A programme of testing with a network of around 100 primary care sites across England will also complement the detection system in hospitals, so that both mild and more unwell cases can be found.",Gov.UK_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-02-26T00:00:00Z,2.21,NA,NA,NA,Guidance published on the cleaning of non-healthcare settings,Public Health England,"Any non-healthcare setting e.g. workplaces, offices, waiting rooms, hotel rooms, student accommodation, boarding schools",Published 26 February 2020,"COVID-19 can spread through contact with a surface or object that has the virus on it. Cleaning minimises the spread of COVID-19. Normal cleaning methods do kill this virus. Cleaners, caretakers and concierges play an important role in keeping people in their buildings protected, particularly the most vulnerable.","Guidance on 26 February for cleaning includes: (a) cleaning an area with normal household disinfectant after someone with suspected COVID-19 has left will reduce the risk of passing on the infection (b) wearing disposable  gloves and aprons and dispose of after cleaning (c) using a disposable cloth, first clean hard surfaces with warm soapy water. Then disinfect these surfaces with the cleaning products you normally use. Pay particular attention to frequently touched areas and surfaces (d) if an area has been heavily contaminated from a person with coronavirus, consider using protection for the eyes, mouth and nose, as well as wearing gloves and an apron (e) wash hands regularly with soap and water for 20 seconds, and after removing gloves, aprons and other protection used while cleaning.",Gov.uk_guidance ,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-02-28T00:00:00Z,2.22,NA,NA,NA,"NHS rolls out services on NHS sites to test people for COVID-19, including offering ‘drive through’ testing",NHS England and Improvement,na,Announced 28 February 2020,na,"The new service, provided by Central London Community Healthcare NHS Trust, is only accessed through a referral from NHS 111. After being referred through NHS 111, people are invited to an appointment in their car, during which two community nurses carry out a swab in the nose and mouth, which are checked and assessed within 72 hours. People are asked to self-isolate while checks are completed, to prevent any potential onward transmission of the virus.",NHS Sinews,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-03-04T00:00:00Z,2.23,NA,NA,NA,Expanded public information campaign is announced focusing on handwashing for 20 seconds,Department of Health and Social Care,General public,Announced 4 March 2020,Making sure the public knows exactly what they should be doing to keep themselves and others safe' - Matt Hancock,"Campaign in print media, radio, online and in public places, including billboards",Gov.uk_news,Measures to limit spread,Informing the public,NA,Wider policies
2020-03-05T00:00:00Z,2.24,NA,NA,NA,COVID-19 is listed as a notifiable disease in law,Department of Health and Social Care,Not stated,Made into law on 5 March 2020,not stated,"On 5 March 2020, a statutory instrument was made into law that adds COVID-19 to the list of notifiable diseases and SARS-COV-2 to the list of notifiable causative agents. This change was made by adding them to the Health Protection (Notification) Regulations 2010. This change in law requires all clinicians to report all cases of COVID-19 to Public Health England.",Gov.uk_news,Measures to limit spread,Legal change,NA,Wider policies
2020-03-09T00:00:00Z,2.25000000000001,NA,NA,NA,Government launches a new taskforce to provide support and advice to Local Resilience Forums,"Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",Local Resilience Forums,Announced 9 March 2020,To help 'them fully prepare for a range of scenarios at a local level',"The taskforce will bring together senior experts from across key sectors – including resilience, local government, public health and adult social care fields – who will assess Local Resilience Forum (LRF) plans and provide support and advice to ensure they are robust.",Gov.uk_news,Measures to limit spread,Other,NA,Wider policies
2020-03-10T00:00:00Z,2.26000000000001,NA,NA,NA,Updated guidance published for travellers returning from specified countries and areas [now withdrawn],Public Health England,Returning travellers,Updated 10 March 2020. Withdrawn 13 March 2020 and superseded by stay at home guidance,NA,"Travellers returning from Category 1 areas should self-isolate, even if asymptomatic, and use the 111 online COVID-19 service to find out what to do next. Go home or to your destination and then self-isolate. Travellers returning from Category 2 areas do not need to undertake any special measures, but if they develop symptoms they should self-isolate and call NHS 111.",Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-03-11T00:00:00Z,2.27000000000001,NA,NA,NA,£10m of new funding is announced to increase the capacity and capability of diagnostic testing and surveillance,MH Treasury Budget 2020,not stated,Budget published 11 March 2020. Timetable for funding not stated,Increase testing and surveillance capacity,By providing an additional £10m of new funding to the Department of Health and Social Care. Testing to be facilitated through Public Health England,Gov.uk_budget 2020,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-03-12T00:00:00Z,2.28000000000001,NA,NA,NA,People aged 70+ and those with pre-existing health conditions are advised against cruise ship travel,Foreign & Commonwealth Office,general public,Published 12 March 2020,It follows a number of cruise ships around the world being locked down due to COVID-19 outbreaks on board.,The Foreign & Commonwealth Office advises British nationals aged 70 and over and those with pre-existing health conditions against cruise ship travel at this time.,Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-03-12T00:00:00Z,2.29000000000001,NA,NA,NA,Government move from the 'contain' to the 'delay' phase of its response to COVID-19. People with symptoms are told to stay at home for 7 days and that they do not need to be tested,Department of Health and Social Care,(a) People with symptoms that may be caused by COVID-19 (b) those living in households with someone who shows symptoms that may be caused by COVID-19,Published 12 March 2020. Later major updates logged separately,"Measures will greatly reduce the overall amount of infection the household could pass on to others in the community
","People with symptoms told to stay at home for 7 days from when the symptoms appeared. After 7 days, if a person still has a high temperature they should keep self-isolating until the temperature returns to normal. They do not need to continue isolating if they just have a cough after 7 days. Those with symptoms are told:  'do not go to a GP surgery, pharmacy or hospital; you do not need to contact 111 to tell them you’re staying at home; testing for coronavirus (COVID-19) is not needed if you’re staying at home'

",Gov.uk_guidance,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-03-13T00:00:00Z,2.30000000000001,NA,NA,NA,Guidance published for reducing risk of transmission of COVID-19 in residential care provision [now withdrawn and not available],Public Health England,"Local authorities, Clinical Commissioning Groups (CCGs),  and registered providers of accommodation for people who need personal or nursing care.",Published 13 March 2020. Withdrawn on 6 April 2020 and replaced by guidance on admission and care of people in care homes,Not available,Not available,no longer available,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-03-13T00:00:00Z,2.31000000000001,NA,NA,NA,Guidance published for supported living provision to support planning and preparation in the event of an outbreak or widespread transmission of COVID-19,Public Health England,"local authorities, CCGs,  community health services and providers of care and support delivered to people in their own homes, including for people with mental health conditions, learning disabilities or autistic adults.","Published 13 March 2020. Later updated e.g. on 19 March 2020 added information on implications of household isolation guidance

",Not stated,"Guidance includes steps that supported living providers can take to maintain service delivery, if a supported living care worker is concerned they may have COVID-19, if someone in supported living has symptoms of COVID-19, applying ‘household isolation’ principles. Includes detail of government and local authority support.",Gov.uk_guidance ,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-03-13T00:00:00Z,2.32000000000001,NA,NA,NA,Guidance published for home care provision to support planning and preparation in the event of an outbreak or widespread transmission of COVID-19,Public Health England,"local authorities, CCGs and registered providers, who support and deliver care to people in their own homes, including community health services.","Published 13 March 2020. Later updated e.g. on 19 March 2020 added information on implications of household isolation guidance
",Not stated,"Guidance includes steps for home care providers to maintain delivery of care, if the individual being cared for has symptoms of COVID-19, if an individual being cared for does not have symptoms but is part of a household that is isolating, if neither the individual nor the care worker have symptoms of COVID-19. Includes steps for local authorities to support home care provision.  

",Gov.uk_guidance ,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-03-16T00:00:00Z,2.33000000000001,NA,NA,NA,Guidance published for reducing risk of transmission of COVID-19 in prisons and other places of detention,Ministry of Justice and Her Majesty’s Prison and Probation Service,Prisons and other prescribed places of detention,"Published 16 March 2020. Later updated e.g. on 24 March 2020 an update was added to say prison visits are temporarily cancelled
",This is vital for keeping prisoners and staff safe and preventing the spread of the virus.,"Prison visits are temporarily suspended. The usual regime in prisons has been paused temporarily to apply social distancing. This means prisoners can no longer take part in usual recreational activities such as using the gym, going to worship or visiting the library. Only essential workers such as kitchen staff or wing cleaners will continue with their jobs but people will still get paid. All face-to-face Parole Board hearings and new jury trials have been temporarily suspended. The Parole Board will progress cases through a combination of remote hearings and a paper review process, sometimes combined with case management hearings.",Gov.uk_guidance ,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-03-16T00:00:00Z,2.34000000000001,NA,NA,NA,"Government announces new social distancing measures, including for anyone in a household with symptoms of COVID-19 to stay home for 14 days",Secretary of State for Health and Social Care,"Directed at everyone, but especially important for those older than 70, for pregnant women and for those with some health conditions. And especially true of London. 
",Announced 16 March 2020,To protect the NHS by building it up and flattening the curve. And to protect life by safeguarding those who are most vulnerable.,"New measures: (a) Those with symptoms or people in household with symptoms – stay home for 14 days (except exercise and those who can't receive deliveries at home). (b) Everyone else - advise against all unnecessary social contact with others and all unnecessary travel. Including working from home if possible, avoiding pubs, clubs, cinemas and restaurants. (c) Government withdrawing support for mass gatherings. (d) Increasing testing 'radically further' - 'we have already increased the number of tests to 5,000 a day and this is now on its way to 10,000 and then radically further.' (e) We are ramping up our communications effort so that people know what steps they need to take to protect themselves, others and the NHS.",Gov.uk_statement to parliament,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-03-16T00:00:00Z,2.35000000000001,NA,NA,NA,Guidance published on new social distancing measures and vulnerable people advised to be particularly stringent in following measures [now withdrawn],Public Health England,"Everyone in the UK, including children, older people and vulnerable people.",Published 16 March 2020. Later major updates logged separately e.g. 23 March 2020 stay at home and away from others guidance. Guidance was withdrawn on 11 May 2020 and superseded by the following guidance: Staying alert and safe (social distancing),To reduce social interaction between people. This will help reduce the transmission of COVID-19,"Those not in vulnerable groups are advised against social mixing in the community,  to use remote access to essential services, less public transport and work from home where possible. 

Those in vulnerable groups, 70+ or pregnant are strongly advised against social mixing in the community, to use remote access to essential services, less public transport, and work from home where possible.",Gov.uk_guidance ,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-03-16T00:00:00Z,2.36000000000001,NA,NA,NA,"Government advises that that mass gatherings should not take place, in line with new social distancing measures","Department of Digital, Culture, Media and Sport; Public Health England; Department of Health and Social Care",Those arranging or planning to attend events in the UK,Published 16 March 2020,Social distancing measures to help reduce the transmission of coronavirus,"In line with the social distancing guidance it is advised that large gatherings should not take place. While the risks of transmitting the disease at mass gatherings are relatively low, these steps will also allow emergency services that would have been deployed for these events to be prioritised in alleviating pressure on public services.",Gov.uk_guidance ,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-03-16T00:00:00Z,2.37000000000001,NA,NA,NA,Guidance published for shipping and sea ports,"Department for Transport, Public Health England, Maritime and Coastguard Agency",Marine settings' (ships and seaports),Guidance published 16 March 2020. Guidance later updated,Guidance will assist ships and sea ports in providing advice to staff on addressing COVID-19.,"Guidance on measures to stop the spread of the virus, covering (a) what to do if you have had a person with confirmed coronavirus (COVID-19) in a marine setting (b) specific action for ships and shipping companies (c) limiting spread of coronavirus (COVID-19) in marine settings (d) disembarkation",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Transport-specific policy
2020-03-17T00:00:00Z,2.38000000000001,NA,NA,NA,Next stage of public information campaign announced focusing on new guidance for households with possible COVID-19 infection,Department of Health and Social Care and Public Health England,general public,Announced 17 March 2020,Government has taken the further measure of asking whole households to isolate because it is likely that people living with others will infect each other or be infected already. Staying at home for 14 days will greatly reduce the overall amount of infection the household could pass on to others in the community.,"The new guidance will set out that individuals will still be asked to self-isolate for 7 days from the onset of COVID-19 symptoms but any individuals in the household will now be asked to self-isolate for 14 days from that moment as well. The new phase of the campaign will build on the existing TV, radio, online, digital and billboard adverts currently visible all over the country. These reinforce the importance of washing your hands more often and for 20 seconds, and ask people to self-isolate for 7 days if they develop a high temperature or a new continuous cough, however mild.",Gov.uk_news,Measures to limit spread,Informing the public,NA,Wider policies
2020-03-17T00:00:00Z,2.39000000000001,NA,NA,NA,"Government commits to increasing testing for COVID-19 to 25,000 hospital patients a day and calls on industry to develop an antibody test",Prime Minister and Secretary of State for Health and Social Care,Hospital patients,Announced 17 March 2020. Increased capacity expected to be ready within four weeks,Increase testing capacity,Prime Minister and Health Secretary promised industry leaders that they would be given whatever support they need to help government increase testing capabilities across the country. The Prime Minister also called on companies to work with the government to rapidly develop a test to establish whether people have developed immunity.,Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-03-17T00:00:00Z,2.40000000000001,NA,NA,NA,Guidance published for Councils covering a range of measures to address COVID-19,"Ministry of Housing, Communities & Local Government",Local councils,Published 17 March 2020. Has frequently been updated to reflect wider policy changes and links to other guidance,Package of guidance on range of measures to tackle the outbreak of COVID-19.,"Wide-ranging guidance including on housing, homelessness, the closure of certain businesses due to social distancing measures, granting restaurant to operate takeaways and shielding most vulnerable (logged separately) and guidance for schools and education settings (logged separately)",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-03-17T00:00:00Z,2.41000000000001,NA,NA,NA,Foreign and Commonwealth Office travel advice is updated to advise against all non-essential world-wide travel,Foreign & Commonwealth Office,General public,Update announced 17 March 2020,Travel advice reflects the pace at which other countries are either closing their borders or implementing restrictive measures,Government advise against all non-essential world-wide travel,Gov.uk_news,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-03-19T00:00:00Z,2.42000000000001,NA,NA,NA,COVID-19 is no longer considered to be a high consequence infectious disease (HCID) in the UK,Public Health England,na,As of 19 March 2020,"Now that more is known about COVID-19, the public health bodies in the UK have reviewed the most up to date information about COVID-19 against the UK HCID criteria. They have determined that several features have now changed; in particular, more information is available about mortality rates (low overall), and there is now greater clinical awareness and a specific and sensitive laboratory test, the availability of which continues to increase.","Cases of COVID-19 are no longer managed by HCID treatment centres only. All healthcare workers managing possible and confirmed cases should follow the updated national infection and prevention (IPC) guidance for COVID-19, which supersedes all previous IPC guidance for COVID-19.",Gov.uk_guidance,Measures to limit spread,Other,NA,Wider policies
2020-03-20T00:00:00Z,2.43000000000001,NA,NA,NA,"Government announces further social distancing measures to close entertainment, hospitality and indoor leisure premises","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP","Entertainment, hospitality and indoor leisure premises across the UK",Measures introduced from end of trading Friday 20 March 2020,To delay the spread of COVID-19,"Some businesses and venues including all pubs, bars and restaurants are instructed  to close from end of trading Friday 20 March 2020",Gov.uk_news,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-03-20T00:00:00Z,2.44000000000001,NA,NA,NA,"Schools, colleges and nurseries in England ordered to close ‘until further notice’",Prime Minister and Secretary of State for Education,"Schools, colleges and nurseries in England","Announced 18 March, ordered to close from 20 March to last 'until further notice'",To slow the spread of the virus,"Schools, colleges and nurseries in England close for the vast majority of children. Schools are to continue to make provisions for the children of key workers who would otherwise be forced to stay home and the most vulnerable children.",Gov.uk_speech,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-03-20T00:00:00Z,2.45000000000001,NA,NA,NA,Government publish the scientific evidence provided to SAGE supporting the UK government response,Scientific Advisory Group for Emergencies (SAGE),na,Published 20 March 2020. New papers and meeting minutes frequently added.,"In fast moving situations, transparency should be at the heart of what the government does. We have therefore published the statements and the accompanying evidence to demonstrate how our understanding of COVID-19 has continued to evolve as new data emerges, and how SAGE’s advice has quickly adapted to new findings that reflect a changing situation.'","The Scientific Advisory Group for Emergencies (SAGE) provides ministers and officials with evidence-based scientific advice in emergencies. This release contains the methods and findings that have informed SAGE advice on the COVID-19 outbreak to date. SAGE will publish: all past minutes and supporting documents. Papers will be published chronologically and thematically in the coming weeks; future minutes and supporting documentation will be published within 1 month of the meeting having taken place, and earlier where possible.",Gov.uk_news,Measures to limit spread,SAGE papers,NA,Wider policies
